time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2019/10/22/08:46:52.335302,4793,1571759212,247087000,/map,-197.71090698242188,-374.33392333984375,-11.645947456359863,0.019991043268761048,-0.004660295418923323,-0.19958506004758897,0.9796654753748523
2019/10/22/08:46:52.446898,4794,1571759212,347885000,/map,-197.32363891601562,-374.5154113769531,-11.635607719421387,0.020371546727740695,-0.004915222377331307,-0.2006241341785756,0.9794441267668094
2019/10/22/08:46:52.518662,4795,1571759212,448740000,/map,-196.93748474121094,-374.6958312988281,-11.623703002929688,0.020336550792758742,-0.004817688435053276,-0.20190222916549913,0.9791826716389533
2019/10/22/08:46:52.611495,4796,1571759212,549595000,/map,-196.56771850585938,-374.8619689941406,-11.615429878234863,0.020061428561119976,-0.00439512070610203,-0.20305359048859703,0.9789522263051221
2019/10/22/08:46:52.719193,4797,1571759212,651303000,/map,-196.1953125,-375.0303955078125,-11.604376792907715,0.02022441615120922,-0.0039670473773509695,-0.20384664633535765,0.9787858705070667
2019/10/22/08:46:52.814214,4798,1571759212,751329000,/map,-195.82972717285156,-375.20550537109375,-11.607662200927734,0.02075322350270679,-0.0038686174502000842,-0.20436175784376462,0.9786677727626863
2019/10/22/08:46:52.905109,4799,1571759212,852183000,/map,-195.4683380126953,-375.38201904296875,-11.597383499145508,0.021170463695371507,-0.003985714291938215,-0.20456177821199262,0.9786165768283581
2019/10/22/08:46:53.011047,4800,1571759212,953043000,/map,-195.0994415283203,-375.556640625,-11.601459503173828,0.022645437557398722,-0.004500583529846508,-0.20532679003315898,0.9784210945193301
2019/10/22/08:46:53.132834,4801,1571759213,53899000,/map,-194.7386932373047,-375.72509765625,-11.591917037963867,0.02256513546043106,-0.004220135593132281,-0.2053791907010326,0.9784132016403995
2019/10/22/08:46:53.236594,4802,1571759213,154767000,/map,-194.36685180664062,-375.9024658203125,-11.588610649108887,0.022928875625970492,-0.004307761844615176,-0.20550808444272853,0.9783772979168616
2019/10/22/08:46:53.347714,4803,1571759213,255628000,/map,-193.9936065673828,-376.068603515625,-11.590200424194336,0.022984190713135764,-0.004851752146642053,-0.2054168733807189,0.9783926081123363
2019/10/22/08:46:53.440881,4804,1571759213,356546000,/map,-193.62661743164062,-376.24468994140625,-11.589731216430664,0.02219698247919661,-0.004593551163600062,-0.20508824069600592,0.9784809690457668
2019/10/22/08:46:53.549595,4805,1571759213,457347000,/map,-193.24801635742188,-376.4252624511719,-11.580120086669922,0.02115745709122961,-0.004900402782115558,-0.2050530800650016,0.9785098785489403
2019/10/22/08:46:53.628712,4806,1571759213,558214000,/map,-192.8860321044922,-376.5939025878906,-11.567331314086914,0.020566509977372475,-0.004874650027679682,-0.20469414571812855,0.9785977535040552
2019/10/22/08:46:53.725500,4807,1571759213,659205000,/map,-192.52088928222656,-376.77239990234375,-11.574092864990234,0.01985894968923164,-0.00526092536138249,-0.2040473063482246,0.9787454426732297
2019/10/22/08:46:53.848721,4808,1571759213,759967000,/map,-192.1549530029297,-376.94720458984375,-11.563735961914062,0.019836480450734724,-0.005546160721858864,-0.20359493004101265,0.9788385252972883
2019/10/22/08:46:53.935972,4809,1571759213,860799000,/map,-191.7921905517578,-377.1058349609375,-11.56174087524414,0.019769772475020448,-0.004997863849302188,-0.20317846651794072,0.978929358123786
2019/10/22/08:46:54.041839,4810,1571759213,961642000,/map,-191.4287872314453,-377.2796630859375,-11.551263809204102,0.01928941359134272,-0.004953933508741095,-0.20250403084515348,0.9790789010889562
2019/10/22/08:46:54.189400,4811,1571759214,62523000,/map,-191.05538940429688,-377.44891357421875,-11.554173469543457,0.019562355008292363,-0.006337762033776462,-0.20156930645664523,0.9792583733282652
2019/10/22/08:46:54.272159,4812,1571759214,163366000,/map,-190.68887329101562,-377.60736083984375,-11.542938232421875,0.020060258651014545,-0.0053352558164516525,-0.2012402093577256,0.9793219589113102
2019/10/22/08:46:54.351495,4813,1571759214,264235000,/map,-190.3167266845703,-377.7838439941406,-11.547222137451172,0.02007415537463637,-0.005028543892448635,-0.20038081733450264,0.979499499783779
2019/10/22/08:46:54.455822,4814,1571759214,365087000,/map,-189.946533203125,-377.9518127441406,-11.535721778869629,0.01935864931707112,-0.004611222551522267,-0.19940995622051047,0.9797140647573315
2019/10/22/08:46:54.555239,4815,1571759214,465976000,/map,-189.57174682617188,-378.12091064453125,-11.540567398071289,0.019174324722441023,-0.004813115148733272,-0.19851851624736008,0.9798977384915989
2019/10/22/08:46:54.658637,4816,1571759214,566815000,/map,-189.2063446044922,-378.28790283203125,-11.530159950256348,0.018909042435972166,-0.004561857673154589,-0.19776748701256905,0.9800559466935843
2019/10/22/08:46:54.756222,4817,1571759214,667673000,/map,-188.85411071777344,-378.4463195800781,-11.524208068847656,0.02006221968160415,-0.0045691218347463595,-0.19713672989566508,0.9801600584563471
2019/10/22/08:46:54.850116,4818,1571759214,768585000,/map,-188.49493408203125,-378.6007080078125,-11.525182723999023,0.02235148613146576,-0.004088789675871694,-0.19644245166054883,0.9802520370049196
2019/10/22/08:46:54.959661,4819,1571759214,869402000,/map,-188.12442016601562,-378.7699279785156,-11.511137962341309,0.02293098184875948,-0.0035920942935061106,-0.19547262065489449,0.9804344554861106
2019/10/22/08:46:55.043904,4820,1571759214,970307000,/map,-187.76815795898438,-378.9259338378906,-11.49614429473877,0.02369348177029819,-0.004190018426794518,-0.1943855383227863,0.9806300653957865
2019/10/22/08:46:55.166217,4821,1571759215,71310000,/map,-187.40538024902344,-379.0775451660156,-11.503213882446289,0.02388770719945823,-0.005063282189339338,-0.19333444488813575,0.9808290029551637
