x,y,z,q_x,q_y,q_z,q_w
-98.025,-450.314,-6.103,0.0,0.0,-0.560210401418,0.828350352293
-97.546,-451.508,-6.103,0.0,0.0,-0.575268074763,0.817964939443
-97.117,-452.702,-6.103,0.0,0.0,-0.540728933479,0.84119689758
-96.567,-453.907,-6.103,0.0,0.0,-0.526437450659,0.850213861651
-95.967,-455.112,-6.103,0.0,0.0,-0.526437450659,0.850213861651
-95.367,-456.317,-6.103,0.0,0.0,-0.535205799765,0.844721700856
-94.803,-457.511,-6.103,0.0,0.0,-0.517386169333,0.855752038725
-94.155,-458.746,-6.103,0.0,0.0,-0.54627285087,0.837607290084
-93.625,-459.949,-6.103,0.0,0.0,-0.590252633507,0.807218575504
-93.261,-461.093,-6.103,0.0,0.0,-0.610600598661,0.791938702751
-92.947,-462.287,-6.103,0.0,0.0,-0.641709312248,0.766947950368
-92.733,-463.481,-6.103,0.0,0.0,-0.657238225264,0.753682900995
-92.569,-464.675,-6.103,0.0,0.0,-0.687922777476,0.725783888103
-92.505,-465.869,-6.103,0.0,0.0,-0.720127723472,0.693841525053
-92.549,-467.052,-6.103,0.0,0.0,-0.733294716542,0.679910919674
-92.641,-468.268,-6.103,0.0,0.0,-0.775716293849,0.631081794585
-92.843,-469.24,-6.103,0.0,0.0,-0.780444386186,0.625225207482
-93.082,-470.309,-6.103,0.0,0.0,-0.80407359548,0.594529774739
-93.406,-471.366,-6.103,0.0,0.0,-0.824424765762,0.565971559001
-93.793,-472.371,-6.103,0.0,0.0,-0.809369989616,0.587299088973
-94.1,-473.312,-6.103,0.0,0.0,-0.835715912874,0.549162009766
-94.493,-474.221,-6.103,0.0,0.0,-0.812473937603,0.582997513473
-94.829,-475.215,-6.103,0.0,0.0,-0.784539016891,0.620079455373
-95.065,-476.209,-6.103,0.0,0.0,-0.749454752446,0.662055567182
-95.201,-477.303,-6.103,0.0,0.0,-0.702949327048,0.71123993392
-95.187,-478.497,-6.103,0.0,0.0,-0.600836398403,0.799372017495
-94.884,-479.544,-6.103,0.0,0.0,-0.548638469207,0.83605970487
-94.448,-480.549,-6.103,0.0,0.0,-0.449383198804,0.893339096107
-93.834,-481.376,-6.103,0.0,0.0,-0.354521426635,0.935047890782
-93.056,-482.065,-6.103,0.0,0.0,-0.286701927027,0.95801983541
-92.192,-482.633,-6.103,0.0,0.0,-0.181325851094,0.983423070568
-91.228,-483.001,-6.103,0.0,0.0,-0.0820023107576,0.996632139272
-90.214,-483.169,-6.103,0.0,0.0,-0.031906071518,0.999490871694
-89.15,-483.237,-6.103,0.0,0.0,0.0846052606466,0.9964145472
-88.086,-483.055,-6.103,0.0,0.0,0.191647500172,0.981463822908
-87.022,-482.623,-6.103,0.0,0.0,0.26825428909,0.963348138725
-86.058,-482.041,-6.103,0.0,0.0,0.352125576913,0.935952764878
-85.394,-481.459,-6.103,0.0,0.0,0.433773900632,0.901021755081
-84.869,-480.801,-6.103,0.0,0.0,0.699855729896,0.714284227273
-84.868,-480.752,29.308,0.0,0.0,0.479991723656,0.877273016353
-84.302,-479.868,29.308,0.0,0.0,0.576173279682,0.817327567001
-83.932,-478.831,29.308,0.0,0.0,0.624535878749,0.780996117887
-83.682,-477.722,29.308,0.0,0.0,0.697136071069,0.716938838684
-83.649,-476.544,29.308,0.0,0.0,0.723409217,0.6904195136
-83.697,-475.516,29.308,0.0,0.0,0.764114264014,0.645080918591
-83.876,-474.464,29.308,0.0,0.0,0.77355300633,0.633731604386
-84.108,-473.308,29.308,0.0,0.0,0.797212656279,0.603698584286
-84.444,-472.115,29.308,0.0,0.0,0.837004432619,0.547196107237
-84.885,-471.108,29.308,0.0,0.0,0.834841092238,0.550491008746
-85.401,-469.904,29.308,0.0,0.0,0.851442795993,0.5244474856
-86.068,-468.58,29.308,0.0,0.0,0.862068691497,0.506791447383
-86.855,-467.166,29.308,0.0,0.0,0.862068691497,0.506791447383
-200.324757777,-372.307171149,-5.903,0.0,0.0,0.0,0.0
-198.847898222,-372.964285064,-5.903,0.0,0.0,0.0,0.0
-197.281208714,-373.689898908,-5.903,0.0,0.0,0.0,0.0
-195.729320605,-374.449432998,-5.903,0.0,0.0,0.0,0.0
-193.830697391,-375.352136684,-5.903,0.0,0.0,0.0,0.0
-192.047739866,-376.237152788,-5.903,0.0,0.0,0.0,0.0
-190.268233812,-377.100668977,-5.903,0.0,0.0,0.0,0.0
-188.389264051,-377.964192827,-5.903,0.0,0.0,0.0,0.0
-186.489264051,-378.787192827,-5.903,0.0,0.0,0.0,0.0
-184.603672818,-379.604216728,-5.903,0.0,0.0,0.0,0.0
-182.669672818,-380.371216728,-5.903,0.0,0.0,0.0,0.0
-180.739584587,-381.136684357,-5.903,0.0,0.0,0.0,0.0
-178.816584587,-381.880684357,-5.903,0.0,0.0,0.0,0.0
-176.901687281,-382.621629862,-5.903,0.0,0.0,0.0,0.0
-174.967687281,-383.331629862,-5.903,0.0,0.0,0.0,0.0
-173.033687281,-384.041629862,-5.903,0.0,0.0,0.0,0.0
-171.099687281,-384.751629862,-5.903,0.0,0.0,0.0,0.0
-169.165687281,-385.461629862,-5.903,0.0,0.0,0.0,0.0
-167.238995725,-386.169011028,-5.903,0.0,0.0,0.0,0.0
-165.258320169,-386.861635177,-5.903,0.0,0.0,0.0,0.0
-163.301320169,-387.605635177,-5.903,0.0,0.0,0.0,0.0
-161.341516169,-388.350710834,-5.903,0.0,0.0,0.0,0.0
-159.347679374,-389.122728501,-5.903,0.0,0.0,0.0,0.0
-157.284281024,-389.998391407,-5.903,0.0,0.0,0.0,0.0
-155.226281024,-390.842391407,-5.903,0.0,0.0,0.0,0.0
-153.168281024,-391.686391407,-5.903,0.0,0.0,0.0,0.0
-151.110281024,-392.530391407,-5.903,0.0,0.0,0.0,0.0
-149.052281024,-393.374391407,-5.903,0.0,0.0,0.0,0.0
-147.004024504,-394.214514394,-5.903,0.0,0.0,0.0,0.0
-144.946024504,-395.008514394,-5.903,0.0,0.0,0.0,0.0
-142.888024504,-395.802514394,-5.903,0.0,0.0,0.0,0.0
-140.826258129,-396.597985027,-5.903,0.0,0.0,0.0,0.0
-138.690258129,-397.441985027,-5.903,0.0,0.0,0.0,0.0
-136.554258129,-398.285985027,-5.903,0.0,0.0,0.0,0.0
-134.414689244,-399.131411087,-5.903,0.0,0.0,0.0,0.0
-132.184457878,-400.032559287,-5.903,0.0,0.0,0.0,0.0
-129.957350439,-400.961948563,-5.903,0.0,0.0,0.0,0.0
-127.730449096,-401.841457598,-5.903,0.0,0.0,0.0,0.0
-125.494449096,-402.674457598,-5.903,0.0,0.0,0.0,0.0
-123.277246683,-403.500878011,-5.903,0.0,0.0,0.0,0.0
-121.060804941,-404.227906552,-5.903,0.0,0.0,0.0,0.0
-118.824804941,-404.860906552,-5.903,0.0,0.0,0.0,0.0
-116.598850711,-405.491175283,-5.903,0.0,0.0,0.0,0.0
-114.37306231,-406.07162725,-5.903,0.0,0.0,0.0,0.0
-112.13706231,-406.60462725,-5.903,0.0,0.0,0.0,0.0
-109.90106231,-407.13762725,-5.903,0.0,0.0,0.0,0.0
-107.66506231,-407.67062725,-5.903,0.0,0.0,0.0,0.0
-105.431465998,-408.203060547,-5.903,0.0,0.0,0.0,0.0
-103.147774592,-408.735528043,-5.903,0.0,0.0,0.0,0.0
-100.792228106,-409.273404194,-5.903,0.0,0.0,0.0,0.0
-98.4170048042,-409.918785545,-5.903,0.0,0.0,0.0,0.0
-97.0445521861,-410.416610826,-5.903,0.0,0.0,0.0,0.0
-95.730270858,-411.013522673,-5.903,0.0,0.0,0.0,0.0
-94.51766152,-411.667760494,-5.903,0.0,0.0,0.0,0.0
-93.3200791206,-412.629938418,-5.903,0.0,0.0,0.0,0.0
-92.2720980393,-413.820301227,-5.903,0.0,0.0,0.0,0.0
-91.5628019631,-415.080722106,-5.903,0.0,0.0,0.0,0.0
-90.9199333279,-416.742022552,-5.903,0.0,0.0,0.0,0.0
-90.6193674849,-418.552833626,-5.903,0.0,0.0,0.0,0.0
-90.576949029,-419.763104764,-5.903,0.0,0.0,0.0,0.0
-90.6912145153,-421.016549386,-5.903,0.0,0.0,0.0,0.0
-90.9514064797,-422.282159276,-5.903,0.0,0.0,0.0,0.0
-91.2734119072,-423.581717859,-5.903,0.0,0.0,0.0,0.0
-91.7294119072,-424.828717859,-5.903,0.0,0.0,0.0,0.0
-92.1983361722,-426.107612741,-5.903,0.0,0.0,0.0,0.0
-92.7476898261,-427.338999156,-5.903,0.0,0.0,0.0,0.0